seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,2,BHK,Apartment,Bodakdev,"20,000",1450,Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,CG Road,"7,350",210,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Jodhpur,"22,000",1900,Unfurnished,3 bathrooms
OWNER,2,BHK,Independent House,Sanand,"13,000",1285,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Navrangpura,"18,000",1600,Furnished,2 bathrooms
OWNER,3,BHK,Villa,Moraiya,"16,000",2200,Unfurnished,
OWNER,1,BHK,Apartment,Vejalpur,"8,500",570,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Jivraj Park,"6,000",180,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Nikol,"12,000",1200,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Shahibuag,"13,000",1126,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Near Nirma University On SG Highway,"9,000",650,Unfurnished,
OWNER,4,BHK,Independent House,Maninagar,"38,500",3500,Furnished,4 bathrooms
OWNER,1,RK,Studio Apartment,Ghatlodiya,"6,000",400,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Maninagar,"15,000",990,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Nava Naroda,"15,000",1350,Semi-Furnished,
AGENT,3,BHK,Apartment,Shilaj,"20,000",1440,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent House,Saijpur Bogha,"6,500",900,Unfurnished,1 bathrooms
AGENT,2,BHK,Apartment,Jodhpur Village,"25,000",1250,Furnished,1 bathrooms
AGENT,1,BHK,Apartment,Vastrapur,"13,500",1000,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Satellite,"8,000",160,Furnished,1 bathrooms
AGENT,3,BHK,Apartment,Ghatlodiya,"20,000",1800,Semi-Furnished,3 bathrooms
AGENT,2,BHK,Apartment,Chandkheda,"12,500",1044,Unfurnished,2 bathrooms
AGENT,2,BHK,Apartment,Bodakdev,"12,000",810,Unfurnished,2 bathrooms
AGENT,3,BHK,Apartment,Bopal,"38,000",1985,Furnished,3 bathrooms
AGENT,2,BHK,Apartment,Prahlad Nagar,"14,000",1256,Unfurnished,2 bathrooms
AGENT,4,BHK,Apartment,Satellite,1.1,3375,Furnished,4 bathrooms
OWNER,1,BHK,Independent House,Ghatlodiya,"5,000",200,Semi-Furnished,1 bathrooms
AGENT,3,BHK,Apartment,Vasna,"40,000",2100,Furnished,4 bathrooms
OWNER,2,BHK,Independent Floor,Maninagar,"16,000",1300,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Shela,"25,000",1285,Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Bopal,"20,000",1455,Unfurnished,3 bathrooms
OWNER,1,BHK,Apartment,Makarba,"11,000",650,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Khokhra,"10,500",630,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Ghatlodiya,"8,000",300,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Shahibuag,"22,000",1800,Unfurnished,3 bathrooms
OWNER,3,BHK,Villa,Ghuma,"23,000",1800,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Bodakdev,"25,000",1200,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Ghodsar,"11,000",186,Furnished,1 bathrooms
OWNER,3,BHK,Independent Floor,Jodhpur,"8,500",800,Furnished,3 bathrooms
OWNER,1,BHK,Independent House,Jodhpur,"12,500",1000,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Ghatlodiya,"9,000",625,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Bopal,"16,000",1090,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Chandkheda,"17,000",1575,Unfurnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Vasna,"15,000",400,Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Memnagar,"18,000",1200,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Nehru Nagar,"18,500",990,Unfurnished,2 bathrooms
AGENT,4,BHK,Apartment,Jodhpur,"60,000",2500,Furnished,4 bathrooms
AGENT,2,BHK,Apartment,Keshav Nagar,"13,000",1225,Furnished,1 bathrooms
AGENT,1,BHK,Apartment,Near Nirma University On SG Highway,"9,000",649,Unfurnished,2 bathrooms
AGENT,4,BHK,Apartment,Prahlad Nagar,"50,000",3000,Furnished,4 bathrooms
AGENT,3,BHK,Apartment,Science City,"32,000",2178,Semi-Furnished,3 bathrooms
