seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,2,BHK,Independent Floor,kamakshipalya,"20,000",1140,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Kadugodi Industrial Area,"8,000",840,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Koramangala,"21,000",1000,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Sadduguntepalya,"9,000",550,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Chandapura,"17,000",1230,Furnished,3 bathrooms
OWNER,3,BHK,Apartment,Yelahanka New Town,"14,000",1200,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Bommanahalli,"23,000",1650,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Kengeri Satellite Town,"8,000",550,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,T Dasarahalli,"5,000",500,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Attibele,"10,000",1260,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Kasavanahalli,"9,500",500,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Nandini Layout,"14,000",1000,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Bharat Nagar,"8,000",500,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Kadugodi Industrial Area,"4,000",400,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,"31,000",1175,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Hebbal,"9,500",1200,Semi-Furnished,2 bathrooms
OWNER,4,BHK,Independent Floor,Whitefield Hope Farm Junction,2.5,5121,Semi-Furnished,5 bathrooms
OWNER,3,BHK,Independent Floor,Banaswadi,"23,000",1600,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Whitefield,"16,000",1500,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Whitefield Hope Farm Junction,"22,000",1260,Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Kogilu,"10,000",600,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Hennur,"12,000",850,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,hongasandra bangalore,"9,000",1200,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Banashankari,"11,000",500,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Krishnarajapura,"8,000",600,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Indira Nagar,"8,000",1200,Unfurnished,1 bathrooms
OWNER,3,BHK,Apartment,Whitefield Hope Farm Junction,"23,900",1414,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Harlur,"24,500",1126,Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,J. P. Nagar,"12,500",600,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Jakkur,"99,500",1500,Unfurnished,
OWNER,3,BHK,Independent House,T Dasarahalli,"12,000",900,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Indira Nagar,"15,000",800,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Begur,"13,500",600,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,BTM Layout,"21,000",1150,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Basavanagudi,"13,000",1000,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Padmanabhanagar,"4,500",200,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Kadugodi,"9,000",650,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Rajajinagar,"3,500",150,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Bagalakunte,"12,000",700,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kodihalli on Old Airport Road,"14,000",1190,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Vidyaranyapura,"7,000",600,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Vibhutipura,"20,000",1050,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,BTM Layout,"12,500",550,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Electronic City Phase 1,"19,000",720,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Harlur,"25,000",1100,Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Kaggadasapura,"21,000",1250,Semi-Furnished,2 bathrooms
OWNER,4,BHK,Villa,Kannur,"65,000",6400,Furnished,5 bathrooms
OWNER,2,BHK,Independent House,Bendre Nagar,"16,500",1100,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Mathikere,"9,000",690,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Whitefield,"6,000",255,Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Kothanur,"18,000",1000,Semi-Furnished,
OWNER,2,BHK,Apartment,Vibhutipura,"16,000",1096,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Yelahanka New Town,"15,000",700,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Hebbal,"8,000",660,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Munnekollal,"11,000",600,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Banashankari,"16,000",1200,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Electronic City Phase II,"8,000",650,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Hebbal,"8,500",500,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,JP Nagar Phase 4,"34,000",1540,Semi-Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,J. P. Nagar,"1,700",250,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,HBR Layout,"17,500",1200,Semi-Furnished,2 bathrooms
OWNER,4,BHK,Independent House,Gnana bharathi,1.2,5000,Semi-Furnished,4 bathrooms
OWNER,2,BHK,Independent Floor,Maruthi Sevanagar,"21,000",1350,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Apartment,Krishnarajapura,"20,000",1500,Furnished,3 bathrooms
OWNER,1,BHK,Independent House,Uttarahalli Hobli,"8,000",550,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Ejipura,"10,000",1200,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Kammasandra,"8,500",552,Semi-Furnished,
OWNER,3,BHK,Independent Floor,R T  Nagar,"28,000",1500,Semi-Furnished,2 bathrooms
