seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,3,BHK,Apartment,Ambattur,"17,000",1570,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kelambakkam,"16,000",1402,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Adyar,"20,000",800,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Sembakkam,"14,000",1180,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent House,Mogappair,"7,000",400,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent House,Choolaimedu,"8,500",500,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Medavakkam,"10,000",800,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Vadapalani,"15,000",615,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Perumbakkam,"25,000",1000,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Thirumullaivoyal,"11,000",905,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Ambattur INDUSTRIAL ESTATE,"13,000",1200,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Kolathur,"5,500",250,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent House,Madhanandapuram,"8,500",720,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,Perungudi,"18,000",1765,Unfurnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Medavakkam,"7,500",550,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Independent House,Kilpauk,"30,000",1000,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Sholinganallur,"12,000",750,Unfurnished,2 bathrooms
OWNER,3,BHK,Independent House,Valasaravakkam,"25,000",1750,Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Mylapore Devandavakkam,"15,000",650,Unfurnished,1 bathrooms
OWNER,4,BHK,Apartment,Adyar,"70,000",2350,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Ayanavaram,"10,000",650,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Guduvancheri,"7,500",752,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Kattupakkam,"14,000",1100,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Chromepet,"9,500",850,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Vinayagapuram,"8,500",800,Unfurnished,1 bathrooms
AGENT,3,BHK,Apartment,Besant Nagar,"80,000",2001,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent House,Kattupakkam,"10,000",1223,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,T Nagar,"22,000",900,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,West Mambalam,"11,500",600,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Pallikaranai,"14,000",1250,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Nanganallur,"8,000",500,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Thiruvanmiyur,"14,000",660,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Thiruvanmiyur,"17,000",1400,Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Perungudi,"13,000",1000,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Royapettah,"13,000",700,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Mogappair,"4,500",300,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Periyamet,"20,000",1150,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Potheri,"14,000",1280,Unfurnished,3 bathrooms
OWNER,2,BHK,Independent House,Virugambakkam,"13,500",1000,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Poonamallee,"30,000",1620,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Maduravoyal,"5,200",400,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Perungudi,"10,000",300,Furnished,1 bathrooms
OWNER,3,BHK,Independent House,Perambur,"18,500",1385,Unfurnished,2 bathrooms
OWNER,4,BHK,Villa,Velachery,"30,000",1700,Semi-Furnished,4 bathrooms
OWNER,3,BHK,Apartment,Iyappanthangal,"40,000",1938,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent House,Mugalivakkam,"10,500",1000,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Sholinganallur,"13,000",1010,Unfurnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Madipakkam,"12,500",1250,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Aminjikarai,"18,000",1100,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Chetpet,"38,000",1800,Unfurnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Mogappair East,"33,000",1600,Unfurnished,3 bathrooms
OWNER,3,BHK,Apartment,Chromepet,"15,000",1100,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Poonamallee,"14,000",1100,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Avadi,"4,000",350,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,George Town,"20,000",400,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Purasawalkam,"16,000",850,Unfurnished,2 bathrooms
OWNER,3,BHK,Independent House,Alwarpet,"40,000",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Apartment,Alandur,"36,000",1418,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Chromepet,"6,500",400,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Medavakkam,"9,500",770,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Virugambakkam,"16,000",1000,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Saidapet,"24,000",1024,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kovilambakkam,"15,000",1017,Semi-Furnished,2 bathrooms
AGENT,4,BHK,Apartment,Teynampet,1.1,3000,Semi-Furnished,4 bathrooms
OWNER,5,BHK,Apartment,Kovalam,"75,000",3800,Furnished,
OWNER,1,BHK,Independent Floor,Ambattur,"6,500",450,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Ambattur,"8,700",600,Semi-Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Annanagar West,"4,000",250,Semi-Furnished,
AGENT,3,BHK,Apartment,Pallavan Nagar,1.1,3300,Furnished,3 bathrooms
OWNER,1,BHK,Apartment,Kilpauk,"25,000",653,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Madambakkam,"10,000",750,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Valasaravakkam,"12,500",700,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Ekkatuthangal,"12,000",600,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Padur,"18,000",1250,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Kilpauk,"42,000",1900,Semi-Furnished,4 bathrooms
OWNER,2,BHK,Apartment,Perungudi,"23,000",1125,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Kodambakkam,"20,000",900,Unfurnished,3 bathrooms
OWNER,2,BHK,Apartment,Padi,"15,000",1300,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Jamalia,"10,000",600,Unfurnished,1 bathrooms
OWNER,3,BHK,Apartment,Pallikaranai,"15,000",1300,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Anna Nagar East,"16,000",720,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Kolathur,"15,000",900,Semi-Furnished,2 bathrooms
OWNER,4,BHK,Villa,Rajakilpakkam,"20,000",2450,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Ambattur,"10,500",1000,Unfurnished,3 bathrooms
OWNER,2,BHK,Apartment,Valasaravakkam,"15,000",935,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Pallikaranai,"10,500",1200,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Nungambakkam,"50,000",1300,Furnished,2 bathrooms
OWNER,4,BHK,Apartment,Gopalapuram,"70,000",2300,Furnished,3 bathrooms
OWNER,1,BHK,Apartment,Chetpet,"23,000",580,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Velachery,"15,000",800,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Korattur,"9,500",650,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Mogappair,"13,000",800,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Independent House,Pallikaranai,"13,000",1350,Unfurnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Egmore,"50,000",2400,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Apartment,Pammal,"9,000",465,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Chromepet,"13,000",950,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,Porur,"28,000",1428,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Sembakkam,"14,000",1180,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Sembakkam,"14,000",1180,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent House,Mogappair,"7,000",400,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent House,Mogappair,"7,000",400,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent House,Choolaimedu,"8,500",500,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Perumbakkam,"25,000",1000,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Perumbakkam,"25,000",1000,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Perumbakkam,"25,000",1000,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Perumbakkam,"25,000",1000,Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent House,Urapakkam,"12,500",1500,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Independent Floor,Palavakam,"32,000",2100,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Medavakkam,"7,500",550,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Mylapore Devandavakkam,"15,000",650,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Mylapore Devandavakkam,"15,000",650,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Ramavaram,"7,000",600,Unfurnished,1 bathrooms
