seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,RK,Studio Apartment,Vasant Kunj,"9,999",500,Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Saket,"13,000",1050,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,New Ashok Nagar,"10,000",550,Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,laxmi nagar,"13,500",648,Furnished,1 bathrooms
OWNER,3,BHK,Independent Floor,Malviya Nagar,"65,000",1500,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Sector-17 Rohini,"16,000",659,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Khanpur,"9,500",700,Unfurnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Pitampura,"16,000",684,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Uttam Nagar,"7,500",450,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Janakpuri,"21,000",750,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,vikaspuri,"13,000",450,Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Shadipur,"9,000",560,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Independent House,Karol Bagh,"25,000",891,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Palam,"14,000",800,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Baprola,"6,500",400,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Burari,"17,000",1000,Unfurnished,2 bathrooms
OWNER,2,BHK,Independent House,Pochanpur Colony,"15,000",850,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Kalkaji,"18,000",1050,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Palam,"12,000",780,Semi-Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Munirka,"7,000",150,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Lajpat Nagar,"7,500",750,Furnished,1 bathrooms
AGENT,1,BHK,Independent Floor,New Ashok Nagar,"11,000",450,Semi-Furnished,1 bathrooms
AGENT,1,BHK,Independent Floor,Lajpat Nagar,"16,000",500,Furnished,1 bathrooms
OWNER,4,BHK,Independent Floor,Dr Mukherji Nagar,"32,000",1200,Unfurnished,2 bathrooms
AGENT,3,BHK,Apartment,Vasant Vihar,1.25,2500,Furnished,3 bathrooms
AGENT,3,BHK,Apartment,Sector 22 Dwarka,"30,000",1800,Semi-Furnished,3 bathrooms
AGENT,3,BHK,Apartment,Sector 6 Dwarka,"32,000",1750,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Model Town,"30,000",1300,Unfurnished,3 bathrooms
OWNER,2,BHK,Apartment,Ghitorni,"22,000",1450,Semi-Furnished,2 bathrooms
AGENT,2,BHK,Apartment,New Ashok Nagar,"12,000",650,Semi-Furnished,2 bathrooms
AGENT,2,BHK,Independent Floor,Sector 23 Dwarka,"14,000",980,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Dwarka Mor,"7,500",550,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,laxmi nagar,"13,000",630,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Chattarpur,"22,000",1000,Semi-Furnished,2 bathrooms
AGENT,4,BHK,Independent Floor,Sector 8 Dwarka,"30,000",1900,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Malviya Nagar,"28,000",1100,Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Wazirabad,"8,000",484,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Mahavir Enclave,"15,000",800,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Dwarka Mor,"13,000",600,Furnished,1 bathrooms
AGENT,3,BHK,Independent Floor,Neeti Bagh,"80,000",2000,Semi-Furnished,3 bathrooms
AGENT,3,BHK,Independent Floor,Neeti Bagh,1.5,4000,Semi-Furnished,3 bathrooms
OWNER,3,BHK,Apartment,Vasant Kunj,"41,000",1500,Furnished,2 bathrooms
AGENT,1,BHK,Independent House,Malviya Nagar,"12,000",500,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Kalkaji,"16,000",280,Furnished,1 bathrooms
AGENT,2,BHK,Independent Floor,mayur vihar phase 1,"13,500",650,Semi-Furnished,1 bathrooms
AGENT,3,BHK,Independent Floor,Panchsheel Park,1.1,3600,Semi-Furnished,3 bathrooms
AGENT,2,BHK,Independent Floor,Defence Colony,"72,000",2020,Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Mayur Vihar Phase 3,"15,000",450,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Sector 8 Dwarka,"16,500",750,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Aya Nagar,"8,500",500,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Mayur Vihar Phase 3,"6,000",450,Semi-Furnished,1 bathrooms
AGENT,2,BHK,Apartment,Saket,"45,000",1800,Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Tilak Nagar,"17,500",700,Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Shalimar Bagh,"18,000",1000,Unfurnished,1 bathrooms
OWNER,3,BHK,Independent Floor,Pitampura,"35,000",1426,Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Sector 1 Dwarka,"7,500",500,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,mayur vihar phase 1,"10,000",500,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Ramesh Nagar,"20,000",900,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Jaunapur,"10,400",650,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Kalkaji,"58,000",1800,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Ashok Vihar,"21,000",891,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Sector 8 Rohini,"15,000",665,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,West Shalimar Bagh,"11,000",450,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,vikaspuri,"7,500",500,Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Samalka,"5,000",900,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Chattarpur,"8,000",800,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Chattarpur,"18,000",850,Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Vijay Nagar,"25,000",900,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Neb Sarai,"13,000",1000,Unfurnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Saket,"8,500",450,Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Saket,"12,000",370,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Moti Bagh,"60,000",2000,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Ashok Vihar,"20,000",1000,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Manglapuri,"11,000",544,Unfurnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Karampura,"14,000",370,Semi-Furnished,1 bathrooms
OWNER,6,BHK,Independent Floor,Greater Kailash,"80,000",2000,Furnished,3 bathrooms
OWNER,4,BHK,Independent Floor,Malviya Nagar,"99,000",3000,Semi-Furnished,4 bathrooms
OWNER,3,BHK,Independent Floor,Sahibabad,"12,000",1250,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,SULTANPUR,"9,000",550,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Sector-B Vasant Kunj,"18,500",750,Semi-Furnished,1 bathrooms
