seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,RK,Studio Apartment,Serilingampally,"6,720",320,Furnished,1 bathrooms
OWNER,5,BHK,Villa,Sri Nagar Colony,"36,000",3000,Semi-Furnished,4 bathrooms
OWNER,2,BHK,Independent House,Shaikpet,"11,000",900,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Nanakramguda,"45,000",2165,Unfurnished,3 bathrooms
OWNER,3,BHK,Apartment,Kondapur,"20,000",1600,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent House,manneguda,"5,000",600,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Manikonda,"12,000",1165,Furnished,2 bathrooms
OWNER,3,BHK,Independent House,Jubilee Hills,"60,000",3000,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Kondapur,"17,000",900,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kondapur,"22,000",1400,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Gajularamaram,"6,500",1000,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Villa,Narsingi,"49,000",3431,Semi-Furnished,4 bathrooms
OWNER,3,BHK,Apartment,Begumpet,"13,000",1000,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Begumpet,"20,000",1000,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Kukatpally,"6,500",160,Unfurnished,1 bathrooms
OWNER,5,BHK,Independent House,LB Nagar,"45,000",3500,Furnished,4 bathrooms
OWNER,1,RK,Studio Apartment,Banjara Hills,"7,500",1500,Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Begumpet,"15,000",1100,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Nallagandla Gachibowli,"23,000",1600,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent House,Trimalgherry,"7,500",850,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Kukatpally,"15,000",1500,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Meerpet,"4,000",645,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Gachibowli,"30,000",1300,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Serilingampally,"21,000",1080,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,AS Rao Nagar,"21,000",1600,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Nizampet,"22,000",1900,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Kapra,"15,000",1600,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Kukatpally,"8,000",600,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Puppalaguda,"21,000",1500,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent Floor,Nizampet,"20,000",1530,Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Chandanagar,"9,000",900,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent House,Sri Nagar Colony,"12,000",1470,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Manikonda,"18,500",1400,Semi-Furnished,2 bathrooms
