seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,2,BHK,Independent Floor,Sodepur,"6,000",600,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,south dum dum,"4,000",150,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Sector 22,"6,500",350,Semi-Furnished,1 bathrooms
OWNER,9,BHK,Independent House,Lake Gardens,1.5,6500,Unfurnished,6 bathrooms
OWNER,3,BHK,Independent House,Dhapa,"26,000",1200,Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Dum Dum,"10,000",800,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Kankurgachi,"10,000",500,Unfurnished,1 bathrooms
OWNER,3,BHK,Apartment,Kasba,"20,000",1050,Semi-Furnished,
OWNER,3,BHK,Independent House,Sarsuna,"8,000",836,Unfurnished,
OWNER,1,BHK,Independent House,Mukundapur,"8,000",600,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Joka,"16,000",1260,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Independent Floor,Mukundapur,"7,000",400,Unfurnished,
OWNER,3,BHK,Apartment,Jadavpur,"22,000",900,Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Nayabad,"12,000",1000,Semi-Furnished,
OWNER,2,BHK,Apartment,Santoshpur,"16,000",850,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Jodhpur Park,"12,000",800,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Ganguly Bagan,"9,000",800,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Panihati,"10,500",760,Unfurnished,2 bathrooms
OWNER,4,BHK,Apartment,New Town,"40,000",2060,Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Rahara,"8,000",850,Semi-Furnished,2 bathrooms
AGENT,2,BHK,Apartment,Bansdroni,"12,000",550,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Salt Lake City,"17,000",850,Semi-Furnished,1 bathrooms
AGENT,2,BHK,Independent Floor,Santragachi,"11,000",800,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Madhyamgram,"11,300",1000,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Picnic Garden,"15,000",900,Furnished,2 bathrooms
OWNER,3,BHK,Apartment,New Town,"16,000",1035,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Dankuni,"10,000",846,Semi-Furnished,1 bathrooms
AGENT,3,BHK,Apartment,New Barrakpur,"14,000",1035,Furnished,2 bathrooms
OWNER,2,BHK,Independent House,Sarsuna,"10,000",750,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent Floor,Tollygunge,"15,000",300,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Kasba,"18,000",850,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Haltu,"10,000",950,Unfurnished,2 bathrooms
OWNER,2,BHK,Independent Floor,Tollygunge,"20,000",720,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Sector 22,"15,000",1000,Semi-Furnished,1 bathrooms
AGENT,2,BHK,Apartment,Tollygunge,"14,500",650,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Uluberia,"7,000",675,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Sector 22,"9,000",150,Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Haltu,"12,000",900,Unfurnished,2 bathrooms
OWNER,1,BHK,Apartment,Baguihati,"6,000",450,Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Bansdroni,"5,000",250,Furnished,
OWNER,1,RK,Studio Apartment,Maniktala,"16,000",350,Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Konnagar,"10,000",1174,Semi-Furnished,2 bathrooms
AGENT,2,BHK,Apartment,Bhowanipore,"22,000",1120,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,New Town,"15,000",1230,Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Kamalgazi,"15,000",1260,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Kamdahari,"8,000",650,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Sodepur,"11,000",850,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Santoshpur,"12,000",550,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Mukundapur,"15,000",1256,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Rahara,"10,000",1042,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,Jagadishpur,"14,000",1258,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Agarpara,"9,000",982,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Independent House,New Town,"45,000",2177,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Independent Floor,Thakurpukur,"10,000",1050,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,New Town,"17,000",1100,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,New Town,"20,000",1450,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Beliaghata,"9,500",600,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Sector 22,"20,000",1200,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Independent Floor,Santoshpur,"18,000",1200,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,New Town,"30,000",1450,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,New Town,"20,000",899,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Madurdaha Hussainpur,"13,000",900,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Bansdroni,"20,000",1050,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kaikhali,"25,000",950,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,New Town,"13,000",650,Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Gupta Colony,"15,000",720,Furnished,2 bathrooms
OWNER,3,BHK,Apartment,birati,"10,000",1040,Semi-Furnished,2 bathrooms
