seller_type,bedroom,layout_type,property_type,locality,price,area,furnish_type,bathroom
OWNER,1,BHK,Independent Floor,Mundhwa,"6,750",450,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Wakad,"18,000",916,Unfurnished,2 bathrooms
OWNER,3,BHK,Apartment,Wagholi,"16,500",1085,Semi-Furnished,3 bathrooms
OWNER,1,RK,Studio Apartment,Kothrud,"8,000",250,Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Yerawada,"25,000",1005,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Ganj Peth,"11,000",600,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Pimple Saudagar,"17,000",900,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Hinjewadi,"13,500",900,Furnished,3 bathrooms
OWNER,1,RK,Studio Apartment,Dhanori,"3,500",200,Furnished,1 bathrooms
OWNER,1,BHK,Apartment,Nigdi,"12,000",1000,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Hinjewadi,"12,000",850,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Bopkhel,"6,500",500,Unfurnished,1 bathrooms
OWNER,3,BHK,Independent Floor,Viman Nagar,"20,000",1210,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Dhayari,"8,000",500,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent Floor,Pimple Nilakh,"18,000",950,Semi-Furnished,
OWNER,3,BHK,Apartment,Chakan,"9,500",1278,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Wagholi,"6,500",750,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Chinchwad,"8,000",315,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Villa,Viman Nagar,"45,000",1200,Furnished,3 bathrooms
OWNER,3,BHK,Apartment,Kharadi,"35,000",1275,Furnished,3 bathrooms
OWNER,2,BHK,Apartment,Wakad,"17,000",1000,Unfurnished,2 bathrooms
OWNER,1,BHK,Apartment,Wagholi,"7,500",520,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Kalyani Nagar,"30,000",929,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Ravet,"15,000",660,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Wakad,"14,000",600,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent House,Kharadi,"9,000",650,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Kothrud,"13,000",650,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Lohegaon,"8,000",650,Unfurnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Mundhwa,"4,000",350,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Pimple Saudagar,"24,000",1080,Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Parvati Darshan,"12,000",350,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Chikhali,"9,000",675,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Baner,"17,400",1100,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Kothrud,"18,000",1000,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Chinchwad,"10,000",700,Semi-Furnished,
OWNER,2,BHK,Apartment,Wakad,"18,500",1026,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Pimple Gurav,"9,500",650,Unfurnished,1 bathrooms
OWNER,1,BHK,Independent House,Wakad,"16,500",630,Semi-Furnished,1 bathrooms
OWNER,1,BHK,Independent House,Bhosari,"8,000",550,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Lohegaon,"6,800",450,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Undri,"10,000",900,Semi-Furnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Dighi,"4,500",350,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Kharadi,"11,000",620,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Sus,"12,000",900,Unfurnished,2 bathrooms
OWNER,1,BHK,Apartment,Wagholi,"8,100",610,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Wagholi,"20,000",1100,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Independent House,Pimple Gurav,"9,500",630,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Wakad,"19,000",1000,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Hadapsar,"6,000",550,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Independent House,Kothrud,"35,000",1200,Unfurnished,2 bathrooms
OWNER,1,BHK,Apartment,Hinjewadi,"9,000",500,Unfurnished,2 bathrooms
OWNER,1,BHK,Apartment,Kharadi,"12,500",450,Unfurnished,1 bathrooms
OWNER,1,BHK,Apartment,Sinhgad Road,"9,500",620,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Dhanori,"17,000",851,Semi-Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Wagholi,"16,000",1080,Semi-Furnished,3 bathrooms
OWNER,1,BHK,Apartment,Nigdi,"8,100",602,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent House,Tathawade,"14,500",942,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Wakad,"18,500",975,Unfurnished,2 bathrooms
AGENT,2,BHK,Apartment,Ambegaon 1,"15,000",900,Unfurnished,2 bathrooms
OWNER,1,RK,Studio Apartment,Karve Nagar,"3,500",500,Furnished,2 bathrooms
OWNER,3,BHK,Apartment,Chinchwad,"21,000",1250,Unfurnished,3 bathrooms
AGENT,2,BHK,Apartment,Hinjewadi,"17,500",950,Semi-Furnished,2 bathrooms
AGENT,2,BHK,Apartment,Bavdhan,"16,000",993,Unfurnished,2 bathrooms
AGENT,2,BHK,Apartment,Wakad,"31,000",900,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Hinjewadi,"12,000",600,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Warje,"14,000",1000,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Kondhwa,"13,500",1068,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Manjari,"10,000",860,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Wagholi,"15,000",1120,Semi-Furnished,2 bathrooms
OWNER,2,BHK,Apartment,Daund,"13,500",819,Furnished,1 bathrooms
OWNER,2,BHK,Independent House,Manjari Budruk,"25,000",2000,Furnished,2 bathrooms
OWNER,1,BHK,Apartment,Manjari,"12,500",650,Semi-Furnished,1 bathrooms
OWNER,2,BHK,Apartment,Chikhali,"9,000",630,Unfurnished,1 bathrooms
OWNER,2,BHK,Independent House,Dhanori,"13,000",1000,Unfurnished,2 bathrooms
OWNER,1,BHK,Independent Floor,Pimple Gurav,"10,000",600,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Apartment,Ravet,"25,000",1600,Furnished,3 bathrooms
OWNER,1,RK,Studio Apartment,Wadegaon,"7,000",425,Semi-Furnished,1 bathrooms
OWNER,3,BHK,Independent House,Chinchwad,"18,000",1500,Semi-Furnished,3 bathrooms
OWNER,2,BHK,Villa,Hinjewadi,"14,000",1375,Semi-Furnished,2 bathrooms
OWNER,1,BHK,Apartment,New Sangavi,"11,000",580,Semi-Furnished,1 bathrooms
OWNER,1,RK,Studio Apartment,Pimpri,"8,500",270,Unfurnished,1 bathrooms
OWNER,2,BHK,Apartment,Mundhwa,"10,000",900,Semi-Furnished,
OWNER,1,BHK,Independent Floor,Lohegaon,"7,000",600,Unfurnished,2 bathrooms
AGENT,3,BHK,Apartment,Baner,"27,000",1700,Unfurnished,3 bathrooms
OWNER,2,BHK,Independent House,Mundhwa,"10,500",950,Unfurnished,2 bathrooms
OWNER,2,BHK,Apartment,Alandi,"12,000",825,Unfurnished,2 bathrooms
OWNER,2,BHK,Independent House,Mundhwa,"9,000",900,Semi-Furnished,2 bathrooms
